id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
321919,00NK,seaplane_base,Cliche Cove Seaplane Base,44.8118612,-73.3698057,96,NA,US,US-NY,Beekmantown,no,,,00NK,00NK,,,
6554,00NY,small_airport,Weiss Airfield,42.89576,-77.495263,1000,NA,US,US-NY,West Bloomfield,no,,,00NY,00NY,,,
6732,03NY,small_airport,Talmage Field,40.958308,-72.717326,95,NA,US,US-NY,Riverhead,no,,,03NY,03NY,,,
6785,04NY,small_airport,Klaverack Airport,42.262298584,-73.6961975098,250,NA,US,US-NY,Hudson,no,,,04NY,04NY,,,
6889,06N,small_airport,Randall Airport,41.431999,-74.391602,523,NA,US,US-NY,Middletown,no,,,K06N,06N,,https://en.wikipedia.org/wiki/Randall_Airport,
6895,06NY,small_airport,Murphy Field,42.836797,-76.437614,1100,NA,US,US-NY,Auburn,no,,,06NY,06NY,,,
7000,08NY,small_airport,Md1 Airport,41.368099212646484,-74.50559997558594,650,NA,US,US-NY,Middletown,no,,,08NY,08NY,,,
7042,09N,small_airport,Airhaven Airport,41.83259963989258,-73.8759994506836,450,NA,US,US-NY,Staatsburg,no,,,09N,09N,,,
7180,0G0,small_airport,North Buffalo Suburban Airport,43.103199,-78.7033,588,NA,US,US-NY,Lockport,no,,,K0G0,0G0,,https://en.wikipedia.org/wiki/North_Buffalo_Suburban_Airport,
7416,0NK0,small_airport,Berdick Field,42.33399963378906,-78.79090118408203,1690,NA,US,US-NY,Cattaraugus,no,,,0NK0,0NK0,,,
7417,0NK1,small_airport,Spring Brook Airport,43.361698150634766,-76.22019958496094,450,NA,US,US-NY,Central Square,no,,,0NK1,0NK1,,,
7418,0NK2,small_airport,Westwind Farm Airport,42.9833984375,-74.01619720458984,800,NA,US,US-NY,Charlton,no,,,0NK2,0NK2,,,
7419,0NK3,small_airport,Seven Gullies Airport,42.695653,-77.792451,600,NA,US,US-NY,Groveland,no,,,0NK3,0NK3,,,
7422,0NK6,small_airport,Cochran Airport,42.438421,-76.089272,1280,NA,US,US-NY,Marathon,no,,,NY92,NY92,,,"0NK6, Lapeer Flyer"
7429,0NY0,small_airport,Bennetts Airport,43.692973,-73.978013,1040,NA,US,US-NY,North Creek,no,,,0NY0,0NY0,,,
7430,0NY1,small_airport,Russell Field,43.139198303222656,-73.6531982421875,260,NA,US,US-NY,Northumberland,no,,,0NY1,0NY1,,,
7431,0NY3,small_airport,Kermizian Airport,43.31399917602539,-74.93209838867188,1440,NA,US,US-NY,Ohio,no,,,0NY3,0NY3,,,
7434,0NY7,small_airport,Murphys Landing Strip,43.026623,-74.177055,940,NA,US,US-NY,Amsterdam,no,,,0NY7,0NY7,,,
7435,0NY8,small_airport,Wenskoski Field,42.99729919433594,-74.24539947509766,800,NA,US,US-NY,Perth,no,,,0NY8,0NY8,,,
7731,11NK,small_airport,Hop House Airpark,42.91389846801758,-74.61170196533203,530,NA,US,US-NY,Fort Plain,no,,,11NK,11NK,,,
7785,12NK,small_airport,Westport Airport,44.15840148925781,-73.43289947509766,276,NA,US,US-NY,Westport,no,,,12NK,12NK,,,
7903,14NK,small_airport,Mountain View Airport,43.34000015258789,-73.47899627685547,243,NA,US,US-NY,Kingsbury,no,,,14NK,14NK,,,
8058,17NK,small_airport,Re-Dun Field,42.457059,-76.951053,1351,NA,US,US-NY,Rock Stream,no,,,17NK,17NK,,,
8109,18NY,small_airport,Strip in the Woods Airport,42.017362,-74.047593,500,NA,US,US-NY,Woodstock,no,,,18NY,18NY,,,
8153,19NK,small_airport,Riveredge Airpark,43.243900299072266,-76.15280151367188,378,NA,US,US-NY,Central Square,no,,,19NK,19NK,,,
8154,19NY,small_airport,Four Seasons Airport,42.40620040893555,-77.96080017089844,1650,NA,US,US-NY,Reading,no,,,19NY,19NY,,,
8172,1A1,small_airport,Green Acres Airport,42.14870071411133,-73.7509994506836,295,NA,US,US-NY,Livingston,no,,,1A1,1A1,,,
